Cell Methods,Mask,label,title,Regex,Variables,UID
area: mean where crops time: maximum within days time: mean over days,,amncrp-dmax,Daily Maximum over Crops,1,,a269a4bd-8c9b-11ef-944e-41a8eb05f654
area: mean where crops time: minimum,,amncrp-tmin,Temporal Minimum over Crops,1,,a269a4be-8c9b-11ef-944e-41a8eb05f654
area: mean where crops time: minimum within days time: mean over days,,amncrp-dmin,Daily Minimum over Crops,1,"Eday.hursminCrop,Eday.tasminCrop",a269a4bf-8c9b-11ef-944e-41a8eb05f654
area: mean where grounded_ice_sheet,,amngi-fx,Fixed Area Mean over Grounded Ice Sheets,1,"IfxAnt.hfgeoubed,IfxAnt.topg,IfxGre.hfgeoubed,IfxGre.topg",a269a4c0-8c9b-11ef-944e-41a8eb05f654
area: mean where ice_free_sea over sea time: mean,,amnifs-tmn,Partial Mean over Ice-Free sea,1,Omon.evs,a269a4c1-8c9b-11ef-944e-41a8eb05f654
area: mean where ice_sheet,,amni-fx,Fixed Area Mean over Ice Sheets,1,"IfxAnt.lithk,IfxGre.lithk",a269a4c2-8c9b-11ef-944e-41a8eb05f654
area: mean where land,,amnla-fx,Fixed Area Mean,1,"Efx.slthick,fx.mrsofc",a269a4c3-8c9b-11ef-944e-41a8eb05f654
area: mean where land over all_area_types time: mean,,amnlax-tmn,Time Mean contribution from Land,1,,a269a4c4-8c9b-11ef-944e-41a8eb05f654
area: mean where land over all_area_types time: point,,amnlax-tpt,Contribution from Land (Instantaneous),1,,a269a4c5-8c9b-11ef-944e-41a8eb05f654
area: mean where land over all_area_types time: sum,,amnlax-tsum,Temporal Sum,1,"Eyr.fracInLut,Eyr.fracOutLut",a269a4c6-8c9b-11ef-944e-41a8eb05f654
